,0,1,2,3,4,5
27758,1090872,AGILENT TECHNOLOGIES INC,10-Q,2018-03-06,edgar/data/1090872/0001090872-18-000004.txt,edgar/data/1090872/0001090872-18-000004-index.html
27791,1090908,"DETERMINE, INC.",10-Q,2018-02-09,edgar/data/1090908/0001437749-18-002142.txt,edgar/data/1090908/0001437749-18-002142-index.html
27907,109177,"HRG GROUP, INC.",10-Q,2018-02-09,edgar/data/109177/0000109177-18-000009.txt,edgar/data/109177/0000109177-18-000009-index.html
28134,1092796,AMERICAN OUTDOOR BRANDS CORP,10-Q,2018-03-01,edgar/data/1092796/0001564590-18-004151.txt,edgar/data/1092796/0001564590-18-004151-index.html
28192,1093248,"MEDICAL INNOVATION HOLDINGS, INC.",10-Q,2018-01-08,edgar/data/1093248/0001493152-18-000259.txt,edgar/data/1093248/0001493152-18-000259-index.html
28193,1093248,"MEDICAL INNOVATION HOLDINGS, INC.",10-Q,2018-03-19,edgar/data/1093248/0001493152-18-003558.txt,edgar/data/1093248/0001493152-18-003558-index.html
28604,1094739,FINISAR CORP,10-Q,2018-03-08,edgar/data/1094739/0001094739-18-000017.txt,edgar/data/1094739/0001094739-18-000017-index.html
28768,1095130,"Solbright Group, Inc.",10-Q,2018-01-16,edgar/data/1095130/0001615774-18-000361.txt,edgar/data/1095130/0001615774-18-000361-index.html
28942,109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,10-Q,2018-01-26,edgar/data/109563/0000109563-18-000040.txt,edgar/data/109563/0000109563-18-000040-index.html
29154,1096275,"Franchise Holdings International, Inc.",10-Q,2018-02-14,edgar/data/1096275/0001477932-18-000837.txt,edgar/data/1096275/0001477932-18-000837-index.html
29155,1096275,"Franchise Holdings International, Inc.",10-Q,2018-02-15,edgar/data/1096275/0001477932-18-000890.txt,edgar/data/1096275/0001477932-18-000890-index.html
29156,1096275,"Franchise Holdings International, Inc.",10-Q,2018-02-15,edgar/data/1096275/0001477932-18-000891.txt,edgar/data/1096275/0001477932-18-000891-index.html
29324,1096752,EDGEWELL PERSONAL CARE Co,10-Q,2018-02-08,edgar/data/1096752/0001096752-18-000009.txt,edgar/data/1096752/0001096752-18-000009-index.html
29589,1098009,America Great Health,10-Q,2018-02-20,edgar/data/1098009/0001185185-18-000274.txt,edgar/data/1098009/0001185185-18-000274-index.html
29735,1099215,PROTALEX INC,10-Q,2018-01-10,edgar/data/1099215/0001144204-18-001695.txt,edgar/data/1099215/0001144204-18-001695-index.html
29809,1099369,DESTINY MEDIA TECHNOLOGIES INC,10-Q,2018-01-16,edgar/data/1099369/0001062993-18-000179.txt,edgar/data/1099369/0001062993-18-000179-index.html
29914,1099941,"MVC CAPITAL, INC.",10-Q,2018-03-12,edgar/data/1099941/0001104659-18-016749.txt,edgar/data/1099941/0001104659-18-016749-index.html
29944,1100397,"Advaxis, Inc.",10-Q,2018-03-12,edgar/data/1100397/0001493152-18-003234.txt,edgar/data/1100397/0001493152-18-003234-index.html
29967,1100412,ARRAY BIOPHARMA INC,10-Q,2018-02-06,edgar/data/1100412/0001100412-18-000003.txt,edgar/data/1100412/0001100412-18-000003-index.html
30379,1100778,Eight Dragons Co.,10-Q,2018-01-12,edgar/data/1100778/0001165527-18-000005.txt,edgar/data/1100778/0001165527-18-000005-index.html
30536,1101396,"DELTA APPAREL, INC",10-Q,2018-02-05,edgar/data/1101396/0001101396-18-000010.txt,edgar/data/1101396/0001101396-18-000010-index.html
30723,1102934,CABOT MICROELECTRONICS CORP,10-Q,2018-02-07,edgar/data/1102934/0001102934-18-000004.txt,edgar/data/1102934/0001102934-18-000004-index.html
